simultaneous users;total_time;total_invocations;success;failed;response time average (ms);standard_deviation;percent;throughput;fail_tax;hi_value;low_value
250;1931646;250000;250000;0;1776.626332;1453.2641713698279;81.79908994897346;129.42330012849146;0.0;64513;504
500;3882706;500000;499980;20;3721.79363174527;2042.268383767472;54.87323011001515;128.77101691449212;0.004;129402;504
750;5813780;750000;749975;25;5662.3242708090265;2009.1594431440985;35.48294564304478;128.9995493465525;0.0033333333333333335;131960;504
1000;8188058;1000000;999971;29;8030.807927429895;2299.3841210372566;28.632039787472912;122.1255394136192;0.0029;137276;504
