simultaneous users;total_time;total_invocations;success;failed;response time average (ms);standard_deviation;percent;throughput;fail_tax;hi_value;low_value
20;632120;20000;20000;0;531.0949;16.992767040613984;3.1995726264014173;31.639562108460417;0.0;745;504
40;681755;40000;40000;0;578.440925;50.73326627324566;8.770691021428966;58.67210361493498;0.0;993;504
60;738944;60000;60000;0;634.0331166666666;82.62640541619183;13.031875345973672;81.19695132513425;0.0;1194;504
80;804552;80000;80000;0;696.7936875;141.47113150273964;20.303159176185794;99.43421929222723;0.0;1359;504
100;897357;100000;100000;0;789.6722;169.69551459256888;21.489361610117324;111.43836845313515;0.0;2246;504
