simultaneous users;total_time;total_invocations;success;failed;response time average (ms);standard_deviation;percent;throughput;fail_tax;hi_value;low_value
20;631611;20000;20000;0;530.6244;13.74700962586666;2.5907232358456675;31.665059664888673;0.0;713;503
40;676407;40000;40000;0;572.540875;42.174163841583805;7.3661402500884865;59.1359935660039;0.0;810;504
60;723849;60000;60000;0;619.3704;70.37319880673209;11.36205391906557;82.89021605334814;0.0;1106;504
80;788067;80000;80000;0;678.0096375;127.24669029535109;18.76768164602248;101.5142113551259;0.0;1304;504
100;871755;100000;100000;0;764.4355;157.84419206179132;20.648464397819215;114.71112870015085;0.0;2176;504
