simultaneous users;total_time;total_invocations;success;failed;response time average (ms);standard_deviation;percent;throughput;fail_tax;hi_value;low_value
250;2619183;250000;250000;0;2493.802116;329.29850323975023;13.204676550998254;95.44961157735065;0.0;4649;2004
500;4967163;500000;500000;0;4850.20642;371.8467165200552;7.666616311147746;100.66108158721588;0.0;7121;2004
750;7409287;750000;750000;0;7296.943604;392.6168239689306;5.380565415822975;101.22431483623188;0.0;10701;2004
1000;9871658;1000000;1000000;0;9758.384271;411.0605510354569;4.212383316949795;101.30010581809054;0.0;12302;2004
