time;response time (ms)
10;931.4652840396753
20;954.7758620689655
30;897.0397672162949
40;907.5035460992908
50;924.527950310559
60;853.7746090156394
70;942.003696857671
80;851.0424808836024
90;905.8754416961131
100;870.3747680890538
110;888.7907608695652
120;1165.179012345679
130;2641.2312338222605
140;2405.9524236983843
150;2662.4358974358975
160;2736.9326211996713
170;2713.3672260612043
180;2345.981162981163
190;2500.015625
200;2415.6645519429026
210;2423.9399477806787
220;2502.845797995374
230;2572.111595466434
240;2541.850545759866
250;2528.970909090909
260;2645.420371867421
270;2424.472742066721
280;2488.8129496402876
290;2576.7010824313074
300;2525.946875
310;2490.880341880342
320;2513.4687232219367
330;2579.960144927536
340;2444.5880989180837
350;2509.4812749003986
360;2521.68339100346
370;2725.6627906976746
380;2325.1251049538205
390;2571.3054830287206
400;2412.8236259228875
410;2472.6608695652176
420;2588.756608933455
430;2600.256652360515
440;2495.6388888888887
450;2575.7609756097563
460;2455.005309734513
470;2746.620031796502
480;2300.4
490;2487.594180704441
500;2817.918772563177
510;2491.4294532627864
520;2472.069055944056
530;2519.4373484236053
540;2450.2555647155814
550;2547.5678694158078
560;2513.043082021541
570;2534.25313283208
580;2414.947189097104
590;2594.6455696202534
600;2470.349358974359
610;2510.903368794326
620;2540.1278890600925
630;2510.974672489083
640;2437.905990016639
650;2688.120144534779
660;2460.0647419072616
670;2562.1032
680;2432.1143818334735
690;2481.0766062602966
700;2553.3511259382817
710;2523.486733001658
720;2100.192883895131
730;859.873440285205
740;900.5537918871253
750;865.2225108225108
760;874.6798917944094
770;942.5258620689655
780;886.6946983546618
790;877.5881341358555
800;871.2569444444445
810;896.6903460837887
820;873.8180227471566
830;881.9753424657534
840;885.8646101113967
850;871.3292576419213
860;879.2191909689558
870;902.7018469656992
880;864.525754884547
890;921.2711571675302
900;872.0732368896926
910;851.5776173285199
920;912.0418482999128
930;883.8779816513761
940;899.0317740511915
950;869.3928258967629
960;917.6263537906137
970;882.4248188405797
980;867.5659388646288
990;851.7005300353356
1000;869.2946127946128
1010;888.3706422018348
1020;870.6230502599653
1030;889.0503597122303
1040;901.5227272727273
1050;872.4460999123576
1060;863.6976336546888
1070;892.4145454545454
1080;910.46804835924
1090;861.4995685936152
1100;874.7560073937153
1110;905.3636363636364
1120;891.2084095063985
1130;864.7783505154639
1140;878.5097345132743
1150;865.0759825327511
1160;909.9056603773585
1170;869.9430894308944
1180;902.0371352785146
1190;886.2343324250681
10;1013.75960591133
20;861.2532981530343
30;852.5703056768559
40;895.7880143112701
50;917.7716894977169
60;894.0
70;929.0175763182239
80;900.1417458945549
90;880.0949868073878
100;871.155017921147
110;877.0847750865051
120;1213.9265402843603
130;2861.6019047619047
140;2403.5865314989137
150;1557.9246031746031
160;1615.8165917041479
170;1373.250235626767
180;1392.2991245136186
190;1418.9433216168718
200;1557.7269267364416
210;1225.9725137431285
220;1444.6875
230;1395.6626908396947
240;1326.633668101387
250;1519.9588979223126
260;1348.3346673336669
270;1479.5772437469348
280;1386.973339796413
290;1330.0551504102098
300;1438.9933554817276
310;1510.2101881597064
320;1343.6257443884563
330;1338.774368231047
340;1441.2262982372558
350;1312.1064531323598
360;1420.0523560209424
370;1344.6671081677705
380;1345.1834946980175
390;1326.797328420083
400;1462.5010864841374
410;1306.0897939156034
420;1443.638990825688
430;1324.0062320230106
440;1685.392569382274
450;1309.1829935355545
460;1354.757219774841
470;1323.0398716773602
480;1432.2580931263858
490;1393.1250598945855
500;1487.3898134140193
510;1312.5479890310787
520;1763.5512239347236
530;1159.246392303581
540;1333.6538639518742
550;1411.9019422074846
560;1577.0051353874883
570;1499.4033284385707
580;1304.38896882494
590;1351.3395394414504
600;1563.0710253998118
610;1287.3243490178163
620;1388.2458784738578
630;1469.342119135477
640;1415.1850579647917
650;1438.1805486284288
660;1231.1715141146278
670;1496.6838383838383
680;1547.59302832244
690;1374.531683168317
700;1285.404035433071
710;1464.186274509804
720;1257.147472642001
730;587.0227790432801
740;845.6392733564014
750;875.1663778162912
760;892.3569553805775
770;886.9329044117648
780;880.4885426214482
790;846.1900684931506
800;880.8432574430823
810;924.8758680555555
820;866.8523131672598
830;892.8165898617511
840;879.4783783783784
850;840.7493692178301
860;891.99375
870;907.5984042553191
880;897.6915974145891
890;877.4870651204282
900;885.5527896995708
910;856.5270150575731
920;886.0135938827527
930;858.9854941069809
940;880.2231985940246
950;879.8747747747748
960;859.7773882559159
970;874.0734265734266
980;859.7685025817556
990;908.7970065481759
1000;864.1788830715532
1010;874.7945945945946
1020;896.7627118644068
1030;859.0892857142857
1040;888.4037267080745
1050;854.3099730458221
1060;909.6857142857143
1070;884.8976660682226
1080;885.1154185022026
1090;850.0446030330063
1100;887.0690235690236
1110;854.9343525179856
1120;853.2378100940975
1130;926.8928901200369
1140;876.739965095986
1150;877.190261496844
1160;876.9875111507582
1170;902.954755309326
1180;851.2047781569966
1190;882.7476793248945
