time_stamp;elapsed_time
1618149774523;163
1618149774501;185
1618149774513;174
1618149774530;181
1618149774528;187
1618149774528;206
1618149774540;216
1618149774534;231
1618149774539;265
1618149774532;275
1618149774502;306
1618149774531;283
1618149774527;298
1618149774503;323
1618149774541;307
1618149774538;343
1618149774545;358
1618149774544;360
1618149774532;381
1618149774551;395
1618149774547;427
1618149774545;437
1618149774542;440
1618149774573;417
1618149774544;479
1618149774585;445
1618149774582;458
1618149774546;528
1618149774579;503
1618149774582;503
1618149774543;547
1618149774546;547
1618149774554;542
1618149774593;510
1618149774539;575
1618149774544;591
1618149774543;601
1618149774534;612
1618149774598;569
1618149774565;646
1618149774576;645
1618149774561;757
1618149774557;762
1618149774590;738
1618149774590;742
1618149774586;748
1618149774602;737
1618149774554;792
1618149774591;759
1618149774590;764
1618149774533;832
1618149774567;811
1618149774537;845
1618149774572;811
1618149774543;844
1618149774596;792
1618149774544;855
1618149774555;854
1618149774559;903
1618149774579;884
1618149774560;907
1618149774605;867
1618149774584;891
1618149774557;921
1618149774564;920
1618149774566;920
1618149774581;905
1618149774559;930
1618149774587;907
1618149774565;931
1618149774572;927
1618149774594;906
1618149774565;942
1618149774564;945
1618149774594;917
1618149774576;942
1618149774566;956
1618149774568;965
1618149774563;981
1618149774578;977
1618149774556;1021
1618149774549;1060
1618149774606;1005
1618149774561;1059
1618149774603;1020
1618149774549;1082
1618149774604;1029
1618149774566;1069
1618149774558;1086
1618149774578;1067
1618149774627;1020
1618149774560;1096
1618149774607;1049
1618149774595;1071
1618149774558;1113
1618149774605;1072
1618149774589;1099
1618149774580;1120
1618149774603;1132
1618149774596;1141
1618149774571;1171
1618149774627;1181
1618149774549;1267
1618149774566;1260
1618149774628;1209
1618149774631;1211
1618149774578;1266
1618149774558;1312
1618149774595;1278
1618149774563;1320
1618149774632;1254
1618149774593;1301
1618149774556;1350
1618149774562;1354
1618149774601;1318
1618149774553;1376
1618149774606;1331
1618149774588;1360
1618149774559;1400
1618149774572;1391
1618149774551;1419
1618149774550;1431
1618149774605;1387
1618149774583;1420
1618149774557;1453
1618149774567;1454
1618149774632;1409
1618149774563;1529
1618149774630;1473
1618149774629;1484
1618149774553;1561
1618149774558;1569
1618149774557;1582
1618149774604;1545
1618149774540;1621
1618149774565;1606
1618149774562;1620
1618149774560;1633
1618149774590;1614
1618149774629;1586
1618149774630;1596
1618149774585;1652
1618149774591;1657
1618149774630;1635
1618149774596;1675
1618149774589;1693
1618149774577;1716
1618149774628;1676
1618149774605;1710
1618149774555;1771
1618149774595;1742
1618149774559;1803
1618149774600;1771
1618149774587;1795
1618149774572;1821
1618149774564;1840
1618149774597;1818
1618149774580;1847
1618149774564;1873
1618149774567;1881
1618149774564;1895
1618149774550;1921
1618149774591;1890
1618149774593;1899
1618149774571;1923
1618149774565;1940
1618149774568;1948
1618149774606;1912
1618149774599;1928
1618149774597;1941
1618149774556;1993
1618149774600;1960
1618149774631;1977
1618149774598;2031
1618149774629;2013
1618149774630;2022
1618149774602;2061
1618149774587;2087
1618149774583;2093
1618149774563;2123
1618149774628;2069
1618149774583;2125
1618149774553;2225
1618149774584;2196
1618149774559;2270
1618149774641;2196
1618149774555;2285
1618149774608;2238
1618149774613;2249
1618149774561;2303
1618149774613;2255
1618149774597;2276
1618149774601;2278
1618149774636;2248
1618149774581;2305
1618149774578;2313
1618149774585;2310
1618149774570;2337
1618149774614;2298
1618149774562;2352
1618149774636;2281
1618149774643;2286
1618149774567;2362
1618149774601;2338
1618149774603;2343
1618149774614;2343
1618149774581;2379
1618149774610;2361
1618149774571;2408
1618149774588;2396
1618149774554;2433
1618149774628;2366
1618149774641;2354
1618149774608;2394
1618149774595;2411
1618149774568;2445
1618149774638;2386
1618149774645;2386
1618149774613;2428
1618149774609;2434
1618149774582;2462
1618149774548;2504
1618149774635;2418
1618149774592;2461
1618149774636;2428
1618149774561;2503
1618149774640;2434
1618149774635;2450
1618149774639;2448
1618149774613;2481
1618149774642;2454
1618149774569;2527
1618149774597;2508
1618149774550;2559
1618149774589;2530
1618149774632;2498
1618149774582;2559
1618149774553;2599
1618149774608;2545
1618149774552;2602
1618149774577;2588
1618149774633;2564
1618149774633;2574
1618149774548;2660
1618149774600;2620
1618149774571;2660
1618149774552;2690
1618149774582;2671
1618149774586;2672
1618149774633;2637
1618149774595;2679
1618149774577;2701
1618149774558;2727
1618149774589;2698
1618149774643;2652
1618149774586;2711
1618149774562;2738
1618149774612;2694
1618149774631;2680
1618149774592;2725
1618149774599;2723
1618149774635;2693
1618149774628;2705
1618149774578;2761
1618149774629;2715
1618149774584;2766
1618149774583;2772
1618149774639;2722
1618149774550;2821
1618149774597;2789
1618149774643;2748
1618149774588;2804
1618149774555;2847
1618149774596;2818
1618149774630;2787
1618149774584;2852
1618149774632;2806
1618149774612;2835
1618149774631;2817
1618149774560;2899
1618149774635;2825
1618149774598;2872
1618149774592;2880
1618149774577;2904
1618149774597;2886
1618149774633;2859
1618149774593;2900
1618149774634;2861
1618149774566;2938
1618149774633;2875
1618149774640;2875
1618149774646;2928
1618149774637;3022
1618149774639;3024
1618149774641;3033
1618149774641;3044
1618149774587;3109
1618149774642;3065
1618149774635;3083
1618149774591;3138
1618149774581;3159
1618149774580;3171
1618149774635;3127
1618149774636;3137
1618149774573;3234
1618149774573;3235
1618149774575;3245
1618149774601;3247
1618149774576;3278
1618149774654;3212
1618149774647;3225
1618149774655;3228
1618149774654;3240
1618149774651;3247
1618149774603;3297
1618149774604;3305
1618149774608;3303
1618149774647;3269
1618149774570;3350
1618149774612;3316
1618149774660;3269
1618149774574;3357
1618149774660;3271
