time_stamp;elapsed_time
1618150477476;248
1618150477481;268
1618150477491;644
1618150477492;643
1618150477493;649
1618150477481;661
1618150477481;664
1618150477498;647
1618150477476;670
1618150477482;664
1618150477489;658
1618150477479;668
1618150477486;662
1618150477487;661
1618150477487;662
1618150477485;664
1618150477486;663
1618150477489;661
1618150477487;663
1618150477490;661
1618150477488;663
1618150477456;695
1618150477493;660
1618150477486;668
1618150477489;666
1618150477489;672
1618150477488;694
1618150477507;711
1618150477483;735
1618150477507;747
1618150477497;771
1618150477643;649
1618150477490;811
1618150477487;815
1618150477456;846
1618150477477;826
1618150477501;802
1618150477479;828
1618150477494;817
1618150477462;858
1618150477498;837
1618150477502;833
1618150477475;860
1618150477503;832
1618150477498;846
1618150477502;857
1618150477506;864
1618150477503;873
1618150477659;797
1618150477486;988
1618150477670;867
1618150477668;880
1618150477475;1078
1618150477478;1085
1618150477516;1060
1618150477653;926
1618150477647;939
1618150477445;1154
1618150477500;1099
1618150477460;1151
1618150477450;1172
1618150477655;978
1618150477512;1158
1618150477506;1170
1618150477504;1208
1618150477668;1044
1618150477511;1201
1618150477508;1217
1618150477668;1057
1618150477513;1212
1618150477677;1060
1618150477655;1108
1618150477648;1117
1618150477492;1287
1618150477661;1118
1618150477657;1123
1618150477509;1271
1618150477513;1267
1618150477692;1100
1618150477670;1122
1618150477693;1111
1618150477654;1150
1618150477669;1137
1618150477664;1233
1618150477691;1206
1618150477674;1228
1618150477698;1254
1618150477662;1304
1618150477478;1500
1618150477695;1293
1618150477682;1315
1618150477684;1317
1618150477646;1363
1618150477512;1498
1618150477514;1496
1618150477516;1497
1618150477673;1346
1618150477678;1351
1618150477668;1367
1618150477692;1343
1618150477681;1362
1618150477667;1381
1618150477699;1350
1618150477660;1389
1618150477665;1387
1618150477476;1578
1618150477672;1401
1618150477670;1404
1618150477667;1408
1618150477652;1425
1618150477686;1400
1618150477695;1399
1618150477671;1426
1618150477690;1409
1618150477682;1417
1618150477515;1593
1618150477696;1422
1618150477697;1422
1618150477684;1446
1618150477680;1451
1618150477689;1451
1618150477528;1613
1618150477677;1476
1618150477682;1480
1618150477690;1483
1618150477685;1499
1618150477706;1574
1618150477703;1582
1618150477702;1587
