simultaneous users;total_time;total_invocations;success;failed;response time average (ms);standard_deviation;percent;throughput;fail_tax;hi_value;low_value
20;202394;20000;20000;0;190.3625;42.405520927825634;22.276194590754812;98.81715861142129;0.0;405;106
30;251553;30000;30000;0;238.1158;67.30025087485875;28.263664517372955;119.25916208512719;0.0;585;108
40;324440;40000;40000;0;310.2421;102.27716315503955;32.9668872003637;123.28936012822093;0.0;1292;107
50;402718;50000;50000;0;388.81418;126.57433686250403;32.553940512793034;124.15635755044472;0.0;1408;108
60;483487;60000;60000;0;468.52435;149.22002742266392;31.84893750403024;124.0984762775421;0.0;1618;108
70;562969;70000;70000;0;547.0506285714285;207.33396958073237;37.900325628391215;124.34077187198585;0.0;2069;108
80;650799;80000;80000;0;633.831;284.0042598170755;44.80756855014593;122.92581887802532;0.0;7235;110
90;732125;90000;90000;0;711.4876777777778;309.3663809554461;43.48162176493406;122.92982755676968;0.0;3915;108
100;798266;100000;100000;0;778.07596;343.3519669898671;44.12833510366611;125.27152603267582;0.0;7628;108
