simultaneous users;total_time;total_invocations;success;mw_failed;vm_fails;response time average (ms);standard_deviation;percent;throughput;fail_tax;hi_value;low_value
20;1134156;20000;20000;0;0;133.8973;12.639491308871058;9.439690948862344;17.63425842653039;0.0;244;102
40;1162915;40000;40000;0;0;161.9539;23.704009614236064;14.636269712699765;34.396323033067766;0.0;335;102
60;1232015;60000;60000;0;0;230.18726666666666;33.21961805288073;14.431561977312125;48.70070575439422;0.0;428;102
80;1309918;80000;80000;0;0;308.79285;56.85871371473387;18.413222234495997;61.072525150429264;0.0;1131;102
100;1335178;100000;100000;0;0;331.88381;164.39255499871425;49.53316493465417;74.89638085708422;0.0;1306;102
20;1136616;20000;20000;0;0;136.35305;12.644307004438078;9.273211713590621;17.596092259830936;0.0;226;102
40;1163019;40000;40000;0;0;161.996575;24.406299493281395;15.065935494797586;34.39324722983889;0.0;351;102
60;1234578;60000;60000;0;0;232.61621666666667;33.08725595242824;14.223967884337775;48.59960245525192;0.0;436;102
80;1305786;80000;80000;0;0;302.4889375;66.1482764140684;21.867998532696227;61.26578168245026;0.0;1163;102
100;1333488;100000;100000;0;0;328.90919;162.0163782974186;49.25869608490374;74.99130100908295;0.0;1239;102
