simultaneous users;total_time;total_invocations;success;mw_failed;vm_fails;response time average (ms);standard_deviation;percent;throughput;fail_tax;hi_value;low_value
20;233674;20000;20000;0;0;133.2201;12.85357602812673;9.6483759043318;85.58932529934866;0.0;336;102
40;262084;40000;40000;0;0;161.394775;24.327855923071404;15.073508992513174;152.62282321698387;0.0;459;102
60;333955;60000;60000;0;0;233.11566666666667;26.33869618395787;11.298552585751224;179.66492491503345;0.0;587;103
80;416854;80000;80000;0;0;312.970175;53.14641655125282;16.9813039057964;191.91371559346916;0.0;1457;103
100;511826;100000;100000;0;0;394.36465;219.82975965871822;55.74276488998652;195.37889829746828;0.0;3523;102
20;234931;20000;20000;0;0;134.5037;12.718513055334581;9.455883410890987;85.13137900064274;0.0;288;102
40;261953;40000;40000;0;0;161.412375;24.061225975088224;14.90667984724729;152.69914832050023;0.0;441;102
60;334619;60000;60000;0;0;233.83913333333334;27.755384365408744;11.869435183820991;179.30840747237903;0.0;633;103
80;418843;80000;80000;0;0;313.4419625;53.50797296140285;17.071094289553795;191.0023564915732;0.0;1469;102
100;511197;100000;100000;0;0;395.1234;218.51713070101414;55.30351548428013;195.6193013652271;0.0;7330;102
