simultaneous users;total_time;total_invocations;success;mw_failed;vm_fails;response time average (ms);standard_deviation;percent;throughput;fail_tax;hi_value;low_value
5;208291;5000;5000;0;0;108.073;3.8492901172658733;3.5617500367953823;24.004877791167164;0.0;156;102
10;215426;10000;10000;0;0;115.1854;6.801812501482997;5.905099519108322;46.419652223965535;0.0;189;102
15;221047;15000;15000;0;0;120.8218;9.257293949066216;7.661940104406835;67.85887164268233;0.0;211;102
5;208775;5000;5000;0;0;108.553;3.901824681757123;3.5943959925171325;23.949227637408693;0.0;144;102
10;216170;10000;10000;0;0;115.9351;6.8919545771711395;5.944666090917366;46.25988805107092;0.0;184;102
15;221154;15000;15000;0;0;120.93933333333334;9.11981711950269;7.540819738411013;67.82603977318972;0.0;215;102
