simultaneous users;total_time;total_invocations;success;mw_failed;vm_fails;response time average (ms);standard_deviation;percent;throughput;fail_tax;hi_value;low_value
20;231192;20000;20000;0;0;130.91055;12.756487960906648;9.744430804779789;86.50818367417558;0.0;223;101
40;255719;40000;40000;0;0;155.07325;23.62014145204378;15.23160277613565;156.42169725362606;0.0;419;101
60;331931;60000;60000;0;0;230.88176666666666;27.034822647334185;11.709379669796729;180.76045925207347;0.0;581;102
80;415655;80000;80000;0;0;312.519375;57.87482672374907;18.518796386223755;192.46731063021016;0.0;1365;102
100;510761;100000;100000;0;0;395.82637;212.3900593671848;53.65737996869304;195.7862875199947;0.0;3554;102
