time;response time (ms)
10;950.0239852398524
20;877.7740213523132
30;920.3479052823316
40;925.7988980716253
50;886.8485401459855
60;873.0994764397906
70;917.8534322820037
80;907.7772727272727
90;988.529262086514
100;1793.0025706940874
110;1690.1162162162161
120;1806.4341463414635
130;1688.761987794246
140;1558.4603033006244
150;1719.9868421052631
160;1745.2270815811607
170;1641.7350714886459
180;1687.8107173725152
190;1680.0504
200;1377.1436865021772
210;940.2605421686746
220;1085.5690200210747
230;1004.8503856041131
240;999.0108527131783
250;1059.092039800995
260;994.0451680672269
270;980.6020812685828
280;1012.5873261205564
290;1020.7091264031235
