time;response time (ms)
10;714.5175125089349
20;726.1307523739956
30;685.4362081254454
40;716.6423248882265
50;666.4318488529015
60;725.1165562913907
70;1315.7167119565217
80;1290.5763454317898
90;1262.8338577721838
100;1218.176996805112
110;1311.2527121888959
120;1258.2440677966101
130;1324.8595360824743
140;1256.3651115618661
150;1237.6574245224892
160;1262.4331651954603
170;1258.6470588235295
180;1205.364303178484
190;1246.3853658536586
200;1233.2686662412252
210;1228.3396345305607
220;1228.5391025641027
230;1282.9513581806696
240;1232.1615186615186
250;1268.73629081947
260;1326.3360269360269
270;1163.0407560543415
280;749.062248995984
290;709.8243938280676
300;691.2015736230798
310;515.05
320;617.9849718221666
330;630.888602704443
340;664.4060564349621
350;655.8263841421737
360;659.1173297370195
370;655.3995983935743
380;665.0877551020408
390;668.364394993046
400;676.0021201413427
410;690.5962473940236
420;626.4391500321957
430;634.0851342501637
440;662.6210964607911
450;682.3514817367333
460;648.1276455026455
470;656.1358108108108
480;649.7645502645503
490;681.6884779516358
500;675.1318758815232
510;670.1970209884902
520;679.4597938144329
530;624.4239482200647
540;857.0589794565938
550;1287.4830339321356
560;1223.46542893726
570;1250.436224489796
580;1300.2029639175257
590;1408.0149359886202
600;1251.7798340778559
610;1269.3939799331104
620;996.9641981363413
630;793.472465034965
640;722.7668209327163
650;1364.2255520504732
660;737.5420969023035
670;710.8571995239984
680;695.4270833333334
690;739.1895679252627
700;741.6626405664307
710;695.000377786173
720;731.8203711014608
730;689.4542083796812
740;688.7652173913043
750;717.7677888293803
760;697.5935988090807
770;695.482122260669
780;657.5668662674651
790;434.66715257531587
800;676.74043715847
810;650.6042524005487
820;643.7438782263401
830;660.8358702845798
