time;response time (ms)
10;753.6555308092056
20;683.9263085399449
30;660.9881533101045
40;682.7521126760563
50;660.9000693962525
60;744.196699669967
70;1334.1755126658625
80;730.7089009990917
90;728.2743925233644
100;652.3912601626016
110;695.5728465083304
120;673.7397959183673
130;693.1415706051873
140;737.3967717717718
150;725.0723610593062
160;691.0308978553253
170;687.1418067226891
180;659.5544588155208
190;659.2952029520295
200;683.7637741046832
210;666.3695190947666
220;692.409187279152
230;658.067281420765
240;671.9331742243437
250;671.7895670688431
260;666.7621805792163
270;665.2102528576377
280;662.2131704005432
290;691.9889404209775
300;661.4951355107713
310;460.7958693563881
320;655.4381408065618
330;648.5836653386455
340;668.547195622435
350;662.7769591426658
360;661.0732356857524
370;655.0320056899004
380;666.5297297297298
390;679.6919365954515
400;649.5321477428181
410;658.5378432685867
420;673.7538772757923
430;668.514467184192
440;637.8359477124183
450;673.4430894308944
460;644.5714285714286
470;628.4172435494021
480;677.6360448807854
490;681.9517638588912
500;661.4804361770366
510;675.1547788873039
520;652.5388316151203
530;667.1293396868618
540;780.0630872483222
550;931.9105447276362
560;684.5559416261293
570;666.6001381215469
580;680.8861591695502
590;683.5593220338983
600;673.8862254025045
610;696.0564681724846
620;651.9166666666666
630;668.5333563774628
640;673.221681723419
650;661.6351071181755
660;676.2620192307693
670;639.9828891082593
680;663.3943854844232
690;675.5583531813542
700;677.5565497494631
710;659.1091934948556
720;667.5671384190542
730;685.6391273247497
740;673.5006798096533
750;667.537169406719
760;706.7713980028531
770;667.5953716690042
780;640.383141762452
790;475.0092682926829
800;662.0561949898442
810;613.4958306606799
820;682.7217630853994
830;660.0117322291235
