simultaneous users;total_time;total_invocations;success;failed;response time average (ms);standard_deviation;percent;throughput;fail_tax;hi_value;low_value
500;1666408;500000;500000;0;1634.15604;523.7722666219481;32.051545495125914;300.04656722723365;0.0;17909;104
600;1999470;600000;599995;5;1966.9669130576087;531.284603925774;27.01034777956195;300.07702041040875;8.333333333333334E-4;16898;104
700;2324160;700000;699984;16;2291.8231073853117;547.2712843193677;23.879298649001623;301.17719950433707;0.002285714285714286;17720;78
800;2663132;800000;800000;0;2629.154815;586.6135760866563;22.31186892228164;300.39817778465357;0.0;17884;104
