simultaneous users;total_time;total_invocations;success;failed;response time average (ms);standard_deviation;percent;throughput;fail_tax;hi_value;low_value
500;3174474;500000;500000;0;3134.133162;1062.0110838522191;33.88532104278916;157.5064089357796;0.0;19074;104
600;3809503;600000;599997;3;3769.364513489234;1062.777256623212;28.1951308455286;157.50007284414792;5.0E-4;20254;104
700;4447642;700000;700000;0;4408.062801428571;1069.99724194323;24.27363878746155;157.38676808969785;0.0;20616;104
