simultaneous users;total_time;total_invocations;success;failed;response time average (ms);standard_deviation;percent;throughput;fail_tax;hi_value;low_value
20;274082;20000;20000;0;251.5462;71.76259442814165;28.528594122328883;72.9708627345101;0.0;692;104
30;350407;30000;30000;0;327.2767;99.34229428340737;30.3542214534085;85.6147280162782;0.0;840;104
40;428391;40000;40000;0;404.72185;130.55743549747208;32.25855868603884;93.37264321612733;0.0;1062;105
50;502319;50000;50000;0;478.3659;154.54912463624157;32.30772189996017;99.53834117363667;0.0;1290;105
60;577674;60000;60000;0;552.8969666666667;193.3750250570226;34.97487537738754;103.86480956387166;0.0;1647;105
70;658485;70000;70000;0;632.006;241.76898701396402;38.254223379835636;106.30462349180316;0.0;2468;105
80;733688;80000;80000;0;706.8368375;287.8169374756589;40.719006453262125;109.03817426481011;0.0;2633;105
90;816225;90000;90000;0;787.5589111111111;351.7090675373844;44.65812811909943;110.2637140494349;0.0;4987;104
100;895596;100000;100000;0;864.28402;398.51598846541935;46.10937831124303;111.65748842111844;0.0;4147;104
