time;response time (ms)
10;881.5681818181819
20;796.8774860779635
30;750.0682565789474
40;721.7866473149492
50;662.5386178861788
60;634.8845144356956
70;1487.6810141509434
80;1802.7285886610373
90;1896.9735483870968
100;1682.5761670761672
110;1401.126536185708
120;1057.3707280832095
130;995.107409925221
140;982.2395799146701
150;1001.8373819163293
160;974.6085192697768
170;971.4676549865229
180;993.4532663316583
190;1010.898717083052
200;1011.358522534734
210;938.0737896494157
220;966.4009771986971
230;991.253299002253
240;984.4188730482009
250;587.3692992213571
260;365.1455108359133
270;361.2952380952381
280;391.67401960784315
290;636.4729551451187
300;659.2837116154873
310;653.2800274536719
320;686.5619438740589
330;649.1483479433581
340;700.2762871646121
350;660.0458970792768
360;659.7276995305165
370;1135.259532595326
380;1978.1173260572987
390;1773.9366153846154
400;1642.2292738707833
410;972.7827801511667
420;982.3152393796358
430;957.6383322559793
440;1010.4236780844695
450;978.3377997179125
460;983.0046296296297
470;938.9758013827782
480;962.8768570485308
490;942.6456564337035
500;971.2246566383257
510;1026.313082499137
520;990.1320561067397
530;986.0777150448356
540;1010.7459128065395
550;798.2258173238962
560;358.159274971076
570;373.8845553822153
580;385.5952380952381
590;690.2275574112734
600;633.8746666666667
610;669.4708672086721
620;627.8284023668639
630;634.0694087403599
640;659.8625
650;681.5134761575674
660;648.3665529010239
670;689.8466757123474
680;1776.895308924485
690;2057.9197930142304
700;1621.6894835096452
710;915.9352771547581
720;988.9896804260985
730;995.455472467709
740;972.2115258677145
750;984.9531303455354
760;980.6024299696254
770;1007.5832219251337
780;929.18752
790;959.7967235038449
800;986.8982719269644
810;989.6505429417572
820;942.8487821380244
830;988.275139207337
840;959.3678996036988
850;963.6179054054054
860;453.0467253925699
870;360.93931297709923
880;371.2649572649573
890;403.9563208735825
900;686.2623762376238
910;658.9000684462696
920;655.971237458194
930;643.3579507651364
940;662.2479338842975
950;665.2736625514403
960;679.9889349930844
970;651.0853018372703
980;1348.9446428571428
990;1845.1917639827905
1000;1927.3973770491802
1010;1700.794504181601
1020;982.1914541238821
1030;976.6358695652174
1040;975.9720960415315
1050;939.9194956353056
1060;956.2433774834437
1070;991.7692307692307
1080;967.3336646785951
1090;981.8600682593857
1100;982.489433076149
1110;976.9413680781759
1120;972.7369498464687
1130;994.3772277227723
1140;975.6397884996695
1150;962.3879817112999
1160;650.6726017441861
1170;361.76052027543994
1180;361.7911585365854
1190;391.18636363636364
1200;663.0006622516556
1210;664.0669889502763
1220;673.5777325186693
1230;673.5433566433567
1240;673.086230876217
1250;651.2278225806451
1260;635.7577150361129
1270;664.5528401585204
1280;1076.5945223780896
1290;1799.0279126213593
1300;1896.0081688223281
1310;1732.0540386803186
1320;984.0493454179255
1330;983.7997307303938
1340;983.9874088800531
1350;942.687172774869
1360;975.4952606635071
1370;984.359814630917
1380;995.7467980295567
1390;976.1253378378378
1400;978.8652130822596
1410;974.1860690099968
1420;954.5539133355727
1430;973.1216607660123
1440;961.986346986347
1450;939.70113452188
1460;842.0854904632153
1470;359.78109452736317
1480;359.32781332329694
1490;413.3107876712329
1500;608.724293059126
1510;688.3778677462888
1520;655.1392757660167
1530;658.0378122889939
1540;683.0364400840925
1550;642.3204272363151
1560;698.7391920623671
1570;660.2467970330412
1580;676.6159122085048
1590;1694.367781155015
1600;1865.1475602586713
1610;1695.6362484157162
1620;980.1912204855338
1630;982.2541145490454
1640;964.2402443162538
1650;965.3684887459807
1660;969.620320855615
1670;929.9839486356341
1680;983.0389990250244
1690;955.4187479727539
1700;956.1478459530026
1710;1000.4138620459846
1720;962.8145695364238
1730;952.918683446273
1740;998.3499826569546
1750;963.4691038498868
1760;992.4777397260274
1770;468.1901169370049
1780;362.10085007727974
1790;371.72328767123287
