time;response time (ms)
10;923.4120654396728
20;707.5284900284901
30;684.2202898550725
40;688.8965034965034
50;676.6833681280445
60;627.4398692810457
70;1359.0083036773428
80;1979.057471264368
90;1853.9072031148605
100;1826.2118644067796
110;1702.9224283305227
120;1823.6346633416458
130;1783.2009598080383
140;1866.7651847213526
150;1911.934235976789
160;1836.4830729166667
170;1807.8558758314855
180;1807.7203761755486
190;1880.5056461731492
200;1947.5204460966543
210;1702.8857852265674
220;1891.5813060179257
230;1865.2124183006536
240;1927.3347639484978
250;1147.5215901302263
260;675.0559094125973
270;642.7797737857618
280;661.0989898989899
290;676.0669485553207
300;673.7440056417489
310;654.0998030203546
320;648.9365183246073
330;672.8123209169055
340;639.2309746328438
350;663.3118279569892
360;658.0973451327434
370;1006.2294478527607
380;1870.7260606060606
390;1845.22968650032
400;1891.1507747318235
410;1836.821608040201
420;1832.7691358024692
430;2055.5116279069766
440;1718.3111111111111
450;1941.624425476034
460;1829.6432009626956
470;1828.712759270899
480;1878.4041897720272
490;1834.973717146433
500;1932.4838042729152
510;1974.0
520;1779.8984326018808
530;1966.3285151116952
540;1861.7853773584907
550;1556.777166437414
560;692.7257501744592
570;700.3223731236598
580;668.5342465753424
590;653.7733612273361
600;666.6381534283774
610;657.241196013289
620;646.4341238471674
630;657.9476584022038
640;636.6248331108144
650;659.2656776803776
660;664.2205375603032
670;745.6005645730417
680;1878.0780711825487
690;1691.6331994645248
700;1868.2137592137592
710;1884.5863777089783
720;1927.9134060295062
730;1873.9899396378269
740;1846.710076605775
750;1789.6781883194278
760;1888.3815527538156
770;1885.6427232979388
780;1730.7447335811648
790;1932.813909774436
800;1791.6626794258373
810;1875.316510903427
820;1912.8333333333333
830;1728.6565533980583
840;1973.6481241914619
850;1879.343710292249
860;740.1479885057471
870;679.9175118323192
880;654.9041379310345
890;648.4788164088769
900;657.263973063973
910;651.2153744201457
920;641.5294511378848
930;705.6064516129032
940;630.9124087591241
950;671.8806366047745
960;656.3929299796057
970;655.4369250985545
980;1457.9581455247908
990;1886.0907407407408
1000;1884.375574523966
1010;1780.8612269207863
1020;1790.4666272888364
1030;1900.427383237364
1040;1920.474802671524
1050;2016.054332874828
1060;1882.751839464883
1070;1869.3819661865998
1080;1873.244431065623
1090;1819.580103359173
1100;1898.5223974763408
1110;1942.5623787976729
1120;1731.4458186101297
1130;1807.8333333333333
1140;1952.6911573472041
1150;1906.2225705329154
1160;1165.0631163708088
1170;658.7714477211796
1180;666.8410689170183
1190;638.3766490765172
1200;685.4340924775707
1210;654.7741273100617
1220;679.2288488210818
1230;665.0618695359785
1240;667.5375438596491
1250;706.9215406562054
1260;676.9971988795518
1270;651.8130464021519
1280;966.9692496924969
1290;1803.09375
1300;1883.267386091127
1310;1756.691570881226
1320;1925.7844190732035
1330;1908.4513973268529
1340;1877.1612903225807
1350;1770.6432068543452
1360;1948.1508838383838
1370;1817.8010817307693
1380;1855.8692356285533
1390;1735.108851674641
1400;1963.967039800995
1410;1860.1123066577002
1420;1904.8037735849057
1430;1820.735965453424
1440;1763.258426966292
1450;1904.172582619339
1460;1470.8013029315962
1470;658.8292181069959
1480;653.9634888438134
1490;666.027045300879
1500;649.1803948264126
1510;632.263500325309
1520;662.572105619499
1530;648.6476377952756
1540;665.6742112482854
1550;670.4806362378977
1560;668.5332871012482
1570;654.0787508486083
1580;655.4102564102565
1590;1823.567533291059
1600;1748.7313432835822
1610;1879.0735764555343
1620;1848.161591050342
1630;1897.4037974683545
1640;1904.5502481389578
1650;1889.333932853717
1660;1797.2373516552154
1670;1870.5782967032967
1680;2019.6960101329955
1690;1683.284
1700;1815.0329397141081
1710;1890.8647568287809
1720;1734.6301775147929
1730;1948.0233990147783
1740;1875.4486592544147
1750;1951.1031116534473
1760;1789.9405439595193
1770;809.2580887885629
1780;628.7022546419098
1790;674.8798657718121
