time;response time (ms)
10;951.2831379621281
20;892.4621621621621
30;862.6459246275198
40;920.8012999071495
50;860.7484716157205
60;870.8724137931034
70;872.0989304812834
80;862.2054915854739
90;990.1159874608151
100;1461.1487101669195
110;941.7443609022556
120;1027.5439289239882
130;1023.6045751633987
140;976.7054079696395
150;1030.0215107553777
160;963.7004048582996
170;1040.0277037826318
180;1003.3301792828685
190;1000.0422314911366
200;1098.5830800405267
210;953.1867261020307
220;1046.4078663793102
230;1093.1197445449707
240;988.0057682223387
250;999.6926582278481
260;897.0107382550335
270;988.797583081571
280;997.3099152964623
290;966.4924457034939
