simultaneous users;total_time;total_invocations;success;mw_failed;vm_fails;response time average (ms);standard_deviation;percent;throughput;fail_tax;hi_value;low_value
20;163590;20000;20000;0;0;152.0687;29.179180103929856;19.188156473968576;122.25686166636102;0.0;316;102
40;255627;40000;40000;0;0;240.864375;88.21591002777745;36.62472294949282;156.47799332621358;0.0;898;102
60;291349;60000;59999;0;1;276.50710845180754;130.11945068930194;47.05826603079193;205.93514994044943;0.0;1901;101
80;364449;80000;80000;0;0;347.0410125;171.82418514242212;49.51120442642845;219.50945125381054;0.0;2599;102
100;450693;100000;100000;0;0;433.26984;250.639064444832;57.84826020773382;221.88052621185597;0.0;2737;102
