simultaneous users;total_time;total_invocations;success;mw_failed;vm_fails;response time average (ms);standard_deviation;percent;throughput;fail_tax;hi_value;low_value
20;160285;20000;20000;0;0;157.9088;25.22888042264993;15.976867927974837;124.77773965124622;0.0;351;101
40;266478;40000;40000;0;0;262.430175;103.36945223595201;39.389316505219725;150.10620013659664;0.0;677;100
60;281585;60000;60000;0;0;276.21451666666667;118.41673758945034;42.87129402845783;213.07953193529485;0.0;1279;101
80;359439;80000;80000;0;0;351.7799125;163.01900384291864;46.34119176515476;222.56905900583965;0.0;1960;102
100;446436;100000;100000;0;0;436.68663;244.348991472319;55.955226170381955;223.99627270202222;0.0;4241;102
