simultaneous users;total_time;total_invocations;success;mw_failed;vm_fails;response time average (ms);standard_deviation;percent;throughput;fail_tax;hi_value;low_value
20;1133635;20000;20000;0;0;133.33395;14.38366684441405;10.787700240196928;17.642362841655384;0.0;213;101
40;1157304;40000;40000;0;0;156.991675;23.18093914389286;14.765712349965604;34.56308800453468;0.0;290;101
60;1230338;60000;60000;0;0;228.82681666666667;31.811972445808916;13.90220469314556;48.767086768026346;0.0;432;102
80;1310907;80000;80000;0;0;310.525975;51.17510367786103;16.480136219799657;61.02644962609857;0.0;1118;101
100;1333506;100000;100000;0;0;330.40739;163.5992724635639;49.51441081979549;74.9902887576059;0.0;1203;101
