simultaneous users;total_time;total_invocations;success;mw_failed;vm_fails;response time average (ms);standard_deviation;percent;throughput;fail_tax;hi_value;low_value
20;1136964;20000;20000;0;0;136.70835;12.0181326358591;8.791074309549565;17.590706477953567;0.0;252;102
40;1165352;40000;40000;0;0;164.904125;23.046258074460958;13.975549777460666;34.32439297311027;0.0;330;102
60;1211379;60000;60000;0;0;208.88471666666666;46.71491194258013;22.363968359220216;49.53032865849581;0.0;434;102
80;1308253;80000;80000;0;0;305.801375;58.23582716639258;19.04367734330579;61.15025151862828;0.0;1167;102
100;1339028;100000;100000;0;0;336.13132;161.04889761352553;47.91249372820287;74.68103728973554;0.0;1532;102
