simultaneous users;total_time;total_invocations;success;failed;response time average (ms);standard_deviation;percent;throughput;fail_tax;hi_value;low_value
500;317828;50000;49997;3;3008.901874112447;1069.070236881375;35.53024597044145;157.3083554627031;0.006;18975;104
600;378648;60000;59991;9;3623.2223000116683;1082.3578059619686;29.872795990422198;158.43474678329213;0.015;18459;102
