time_stamp,elapsed_time,,,,,
1618147718559,104,,,Coluna 1,,
1618147718305,105,,Média,"6185,16045",,
1618147718556,105,,Erro padrão,"3,88088064052527",,
1618147718599,105,,Modo,6049,,
1618147718274,107,,Mediana,6105,,
1618147718796,107,,Primeiro quartil,5473,,
1618147718218,109,,Terceiro quartil,6801,,
1618147718158,111,,Variância,"1506123,45460039",,
1618147718430,111,,Desvio padrão,"1227,2422151313",,"9866,88709539391"
1618147717873,112,,Curtose,"37,3666514343949",,"2503,43380460609"
1618147718153,112,,Inclinação,"2,52052251602128",,
1618147717733,115,,Intervalo,26242,,
1618147718387,116,,Mínimo,104,,
1618147718362,117,,Máximo,26346,,
1618147717871,119,,Soma,618516045,,
1618147718324,119,,Contagem,100000,,
1618147718360,120,,,,,
1618147718362,120,,,,,
1618147717870,126,,,,,
1618147718351,129,,,,,
1618147716877,134,,,,,
1618147717885,152,,,,,
1618147717829,153,,,,,
1618147718298,154,,,,,
1618147717681,164,,,,,
1618147717890,170,,,,,
1618147717891,170,,,,,
1618147717897,218,,,,,
1618147717903,222,,,,,
1618147717921,256,,,,,
1618147717917,258,,,,,
1618147717918,258,,,,,
1618147717914,267,,,,,
1618147717914,268,,,,,
1618147717890,274,,,,,
1618147717913,275,,,,,
1618147717952,285,,,,,
1618147717901,286,,,,,
1618147717925,286,,,,,
1618147717556,291,,,,,
1618147717901,292,,,,,
1618147717918,293,,,,,
1618147717076,298,,,,,
1618147717961,301,,,,,
1618147717956,305,,,,,
1618147717950,309,,,,,
1618147717534,313,,,,,
1618147717924,313,,,,,
1618147717937,313,,,,,
1618147717955,313,,,,,
1618147717519,314,,,,,
1618147717893,314,,,,,
1618147717899,321,,,,,
1618147717512,322,,,,,
1618147717927,322,,,,,
1618147716949,323,,,,,
1618147717927,323,,,,,
1618147717895,325,,,,,
1618147717934,326,,,,,
1618147717933,329,,,,,
1618147716910,331,,,,,
1618147717933,331,,,,,
1618147717497,333,,,,,
1618147717906,339,,,,,
1618147717024,341,,,,,
1618147717501,342,,,,,
1618147717912,345,,,,,
1618147716911,349,,,,,
1618147717896,349,,,,,
1618147716938,355,,,,,
1618147717488,356,,,,,
1618147082493,364,,,,,
1618147717471,366,,,,,
1618147716653,367,,,,,
1618147717114,371,,,,,
1618147082489,373,,,,,
1618147717120,375,,,,,
1618147082487,380,,,,,
1618147717879,382,,,,,
1618147716904,390,,,,,
1618147716928,390,,,,,
1618147082480,398,,,,,
1618147082490,399,,,,,
1618147716907,401,,,,,
1618147716966,409,,,,,
1618147716912,415,,,,,
1618147716955,421,,,,,
1618147716956,429,,,,,
1618147716957,429,,,,,
1618147082491,433,,,,,
1618147717128,434,,,,,
1618147716962,435,,,,,
1618147716962,443,,,,,
1618147716541,444,,,,,
1618147716952,444,,,,,
1618147082490,449,,,,,
1618147717384,449,,,,,
1618147716955,452,,,,,
1618147082455,457,,,,,
1618147082487,457,,,,,
1618147716958,460,,,,,
1618147716929,465,,,,,
1618147716961,468,,,,,
1618147716542,471,,,,,
1618147082479,472,,,,,
1618147716911,472,,,,,
1618147082492,473,,,,,
1618147716863,474,,,,,
1618147717360,478,,,,,
1618147717337,486,,,,,
1618147082480,488,,,,,
1618147716938,489,,,,,
1618147717327,492,,,,,
1618147716920,496,,,,,
1618147717048,504,,,,,
1618147716505,511,,,,,
1618147082488,512,,,,,
1618147716504,512,,,,,
1618147082489,519,,,,,
1618147716471,525,,,,,
1618147716998,532,,,,,
1618147082492,546,,,,,
1618147082491,547,,,,,
1618147716968,551,,,,,
1618147082492,557,,,,,
1618147717273,557,,,,,
1618147082479,558,,,,,
1618147717287,558,,,,,
1618147717274,564,,,,,
1618147082481,568,,,,,
1618147082494,568,,,,,
1618147716416,569,,,,,
1618147082493,575,,,,,
1618147082460,577,,,,,
1618147717135,577,,,,,
1618147717244,579,,,,,
1618147716462,591,,,,,
1618147082487,594,,,,,
1618147717226,597,,,,,
1618147082478,603,,,,,
1618147082491,603,,,,,
1618147716393,606,,,,,
1618147082481,612,,,,,
1618147717137,612,,,,,
1618147717002,616,,,,,
1618147717196,620,,,,,
1618147082459,622,,,,,
1618147717146,623,,,,,
1618147717162,623,,,,,
1618147717165,624,,,,,
1618147082492,625,,,,,
1618147717167,627,,,,,
1618147717096,631,,,,,
1618147082494,634,,,,,
1618147717151,647,,,,,
1618147717169,648,,,,,
1618147717100,650,,,,,
1618147717164,650,,,,,
1618147716969,651,,,,,
1618147717106,653,,,,,
1618147717141,653,,,,,
1618147717158,654,,,,,
1618147716953,655,,,,,
1618147717134,655,,,,,
1618147716290,662,,,,,
1618147717122,669,,,,,
1618147716947,670,,,,,
1618147717150,670,,,,,
1618147717084,673,,,,,
1618147717139,674,,,,,
1618147717152,675,,,,,
1618147716286,679,,,,,
1618147717169,680,,,,,
1618147717117,683,,,,,
1618147716923,684,,,,,
1618147717118,694,,,,,
