simultaneous users;total_time;total_invocations;success;failed;response time average (ms);standard_deviation;percent;throughput;fail_tax;hi_value;low_value
1;118725;1000;1000;0;108.017;4.1359178929006815;3.828950899303519;8.422825858075385;0.0;145;105
2;117084;2000;2000;0;106.3325;2.8719449479214556;2.700909832761814;17.08175327115575;0.0;130;103
3;121544;3000;3000;0;110.50133333333333;5.77977509559041;5.230502584213533;24.682419535312317;0.0;141;103
4;127317;4000;4000;0;116.48275;8.398025609989293;7.209673200529086;31.41764257718922;0.0;170;103
5;132288;5000;5000;0;121.0534;11.02296010924082;9.105865766051032;37.796323173681664;0.0;181;103
6;136429;6000;6000;0;125.50916666666667;13.738075013979865;10.94587381849655;43.97891943794941;0.0;198;103
7;140805;7000;7000;0;129.659;16.977553543783877;13.094003149633945;49.71414367387522;0.0;225;103
8;145690;8000;8000;0;134.297875;19.841480691442367;14.774232795152095;54.911112636419794;0.0;253;103
9;150289;9000;9000;0;138.20044444444446;22.24646614503114;16.097246455653803;59.8846222943795;0.0;251;103
10;153286;10000;10000;0;142.0363;25.316904962449257;17.824249830817372;65.2375298461699;0.0;297;103
1;119227;1000;1000;0;108.437;4.429181487436267;4.084566603130174;8.387361923054343;0.0;136;105
2;127620;2000;2000;0;116.924;6.356211506263431;5.4361906077994515;15.671524839366871;0.0;152;105
3;135312;3000;3000;0;124.59066666666666;9.7937949247759;7.860777365433393;22.170982617949626;0.0;182;105
4;138632;4000;4000;0;127.675;9.119932471903123;7.143083980343155;28.853367187950834;0.0;199;105
5;153437;5000;5000;0;142.3858;18.95513697664995;13.312519209534907;32.58666423352907;0.0;214;106
6;144948;6000;6000;0;134.00433333333334;21.86234147763462;16.314652618921244;41.39415514529348;0.0;254;107
7;166061;7000;7000;0;154.2827142857143;27.730969060069143;17.974125739526787;42.153184673102054;0.0;291;106
8;178046;8000;8000;0;166.479125;23.97555354168762;14.401537455033846;44.93220853037979;0.0;317;105
9;187123;9000;9000;0;175.6598888888889;31.96279006705868;18.19583871379782;48.09670644442426;0.0;336;106
10;189520;10000;10000;0;177.7346;40.8731210460176;22.99671591576294;52.764879696074296;0.0;361;105
